species,acid,cost_type,cost,usage
cerevisiae,cys,glu-rel,0.004944867,0.0125758944875868
cerevisiae,cys,amm-abs,1.0,0.0125758944875868
cerevisiae,asp,akashi,12.7,0.0585294173120877
cerevisiae,asp,sul-rel,0.0,0.0585294173120877
cerevisiae,asp,weight,133.1,0.0585294173120877
cerevisiae,asp,glu-abs,0.614283333,0.0585294173120877
cerevisiae,asp,sul-abs,0.0,0.0585294173120877
cerevisiae,asp,amm-rel,0.297499,0.0585294173120877
cerevisiae,asp,glu-rel,0.182749,0.0585294173120877
cerevisiae,asp,amm-abs,1.0,0.0585294173120877
cerevisiae,pro,akashi,20.3,0.0437587768406289
cerevisiae,pro,sul-rel,0.0,0.0437587768406289
cerevisiae,pro,weight,115.1,0.0437587768406289
cerevisiae,pro,glu-abs,0.994126667,0.0437587768406289
cerevisiae,pro,sul-abs,0.0,0.0437587768406289
cerevisiae,pro,amm-rel,0.164700333,0.0437587768406289
cerevisiae,pro,glu-rel,0.163732667,0.0437587768406289
cerevisiae,pro,amm-abs,1.0,0.0437587768406289
cerevisiae,glu,akashi,15.3,0.0654240060629858
cerevisiae,glu,sul-rel,0.0,0.0654240060629858
cerevisiae,glu,weight,147.1,0.0654240060629858
cerevisiae,glu,glu-abs,0.864303333,0.0654240060629858
cerevisiae,glu,sul-abs,0.0,0.0654240060629858
cerevisiae,glu,amm-rel,0.3018,0.0654240060629858
cerevisiae,glu,glu-rel,0.260846667,0.0654240060629858
cerevisiae,glu,amm-abs,1.0,0.0654240060629858
cerevisiae,gln,akashi,16.3,0.0395572099977538
cerevisiae,gln,sul-rel,0.0,0.0395572099977538
cerevisiae,gln,weight,146.2,0.0395572099977538
cerevisiae,gln,glu-abs,0.921453333,0.0395572099977538
cerevisiae,gln,sul-abs,0.0,0.0395572099977538
cerevisiae,gln,amm-rel,0.210799333,0.0395572099977538
cerevisiae,gln,glu-rel,0.097121333,0.0395572099977538
cerevisiae,gln,amm-abs,2.0,0.0395572099977538
cerevisiae,phe,akashi,52.0,0.0441565745502057
cerevisiae,phe,sul-rel,0.0,0.0441565745502057
cerevisiae,phe,weight,165.2,0.0441565745502057
cerevisiae,phe,glu-abs,1.838066667,0.0441565745502057
cerevisiae,phe,sul-abs,0.0,0.0441565745502057
cerevisiae,phe,amm-rel,0.133903333,0.0441565745502057
cerevisiae,phe,glu-rel,0.246117333,0.0441565745502057
cerevisiae,phe,amm-abs,1.0,0.0441565745502057
cerevisiae,gly,akashi,11.7,0.0497634646808788
cerevisiae,gly,sul-rel,0.0,0.0497634646808788
cerevisiae,gly,weight,75.1,0.0497634646808788
cerevisiae,gly,glu-abs,0.307143667,0.0497634646808788
cerevisiae,gly,sul-abs,0.0,0.0497634646808788
cerevisiae,gly,amm-rel,0.2904,0.0497634646808788
cerevisiae,gly,glu-rel,0.089194333,0.0497634646808788
cerevisiae,gly,amm-abs,1.0,0.0497634646808788
cerevisiae,arg,akashi,27.3,0.0443637037024336
cerevisiae,arg,sul-rel,0.0,0.0443637037024336
cerevisiae,arg,weight,174.2,0.0443637037024336
cerevisiae,arg,glu-abs,1.392533333,0.0443637037024336
cerevisiae,arg,sul-abs,0.0,0.0443637037024336
cerevisiae,arg,amm-rel,0.6428,0.0443637037024336
cerevisiae,arg,glu-rel,0.223780333,0.0443637037024336
cerevisiae,arg,amm-abs,4.0,0.0443637037024336
cerevisiae,ser,akashi,11.7,0.0898336965523627
cerevisiae,ser,sul-rel,0.0,0.0898336965523627
cerevisiae,ser,weight,105.1,0.0898336965523627
cerevisiae,ser,glu-abs,0.492863333,0.0898336965523627
cerevisiae,ser,sul-abs,0.0,0.0898336965523627
cerevisiae,ser,amm-rel,0.185400667,0.0898336965523627
cerevisiae,ser,glu-rel,0.091376667,0.0898336965523627
cerevisiae,ser,amm-abs,1.0,0.0898336965523627
cerevisiae,his,akashi,38.3,0.0216504832727778
cerevisiae,his,sul-rel,0.0,0.0216504832727778
cerevisiae,his,weight,155.2,0.0216504832727778
cerevisiae,his,glu-abs,1.46183,0.0216504832727778
cerevisiae,his,sul-abs,0.0,0.0216504832727778
cerevisiae,his,amm-rel,0.198888667,0.0216504832727778
cerevisiae,his,glu-rel,0.096919333,0.0216504832727778
cerevisiae,his,amm-abs,3.0,0.0216504832727778
cerevisiae,thr,akashi,18.7,0.0591559487046712
cerevisiae,thr,sul-rel,0.0,0.0591559487046712
cerevisiae,thr,weight,119.1,0.0591559487046712
cerevisiae,thr,glu-abs,0.685786667,0.0591559487046712
cerevisiae,thr,sul-abs,0.0,0.0591559487046712
cerevisiae,thr,amm-rel,0.191402,0.0591559487046712
cerevisiae,thr,glu-rel,0.13126,0.0591559487046712
cerevisiae,thr,amm-abs,1.0,0.0591559487046712
cerevisiae,ile,akashi,32.3,0.065556719609198
cerevisiae,ile,sul-rel,0.0,0.065556719609198
cerevisiae,ile,weight,131.2,0.065556719609198
cerevisiae,ile,glu-abs,1.207136667,0.065556719609198
cerevisiae,ile,sul-abs,0.0,0.065556719609198
cerevisiae,ile,amm-rel,0.192701667,0.065556719609198
cerevisiae,ile,glu-rel,0.232615,0.065556719609198
cerevisiae,ile,amm-abs,1.0,0.065556719609198
kluyveri,val,akashi,23.3,0.0615132558832291
kluyveri,val,sul-rel,0.0,0.0615132558832291
kluyveri,val,weight,117.2,0.0615132558832291
kluyveri,val,glu-abs,0.957186667,0.0615132558832291
kluyveri,val,sul-abs,0.0,0.0615132558832291
kluyveri,val,amm-rel,0.264669333,0.0615132558832291
kluyveri,val,glu-rel,0.253271667,0.0615132558832291
kluyveri,val,amm-abs,1.0,0.0615132558832291
kluyveri,lys,akashi,30.3,0.0709679020887185
kluyveri,lys,sul-rel,0.0,0.0709679020887185
kluyveri,lys,weight,146.2,0.0709679020887185
kluyveri,lys,glu-abs,1.314213333,0.0709679020887185
kluyveri,lys,sul-abs,0.0,0.0709679020887185
kluyveri,lys,amm-rel,0.5724,0.0709679020887185
kluyveri,lys,glu-rel,0.376126667,0.0709679020887185
kluyveri,lys,amm-abs,2.0,0.0709679020887185
kluyveri,ala,akashi,11.7,0.0580291222641824
kluyveri,ala,sul-rel,0.0,0.0580291222641824
kluyveri,ala,weight,89.1,0.0580291222641824
kluyveri,ala,glu-abs,0.5,0.0580291222641824
